"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
8035,"for_sale                      ",255000,3,2,"0.14",479618,"Omaha","Nebraska                      ","68116",1398,"2019-04-11"
67258,"for_sale                      ",365000,4,4,"0.14",559138,"Omaha","Nebraska                      ","68130",3102,"2021-05-26"
11296,"for_sale                      ",245000,2,2,"0.13",1622779,"Omaha","Nebraska                      ","68122",1562,"2010-05-14"
8035,"for_sale                      ",239900,3,2,"0.17",1630667,"Omaha","Nebraska                      ","68124",1612,"2017-03-13"
8035,"for_sale                      ",235000,3,2,"0.11",193311,"Omaha","Nebraska                      ","68164",1380,"2015-05-26"
8035,"for_sale                      ",350000,5,3,"0.2",83213,"Omaha","Nebraska                      ","68134",2623,"2010-05-24"
8035,"for_sale                      ",282500,3,2,"0.16",1513197,"Omaha","Nebraska                      ","68137",2046,"2016-10-03"
69077,"for_sale                      ",245000,3,2,"0.15",421612,"Omaha","Nebraska                      ","68138",1457,"2005-05-18"
67749,"for_sale                      ",275000,3,3,"0.15",416891,"Omaha","Nebraska                      ","68144",1764,"2003-06-20"
11296,"for_sale                      ",275000,3,3,"0.21",835702,"Omaha","Nebraska                      ","68164",1520,NULL
8035,"for_sale                      ",235000,3,2,"0.14",1659948,"Omaha","Nebraska                      ","68122",1251,"1999-05-27"
110098,"for_sale                      ",299000,3,2,"0.24",327676,"Omaha","Nebraska                      ","68144",1921,"2019-10-31"
52721,"for_sale                      ",245000,3,3,"0.18",1431382,"Omaha","Nebraska                      ","68132",1300,"2015-03-04"
11296,"for_sale                      ",310000,5,3,"0.17",186777,"Omaha","Nebraska                      ","68132",2785,"2005-07-01"
11296,"for_sale                      ",339000,4,3,"0.18",1061236,"Omaha","Nebraska                      ","68131",2456,"2019-11-21"
11472,"for_sale                      ",250000,4,2,"0.13",965344,"Omaha","Nebraska                      ","68105",2332,"2017-03-20"
11296,"for_sale                      ",325000,3,2,"0.21",1701195,"Omaha","Nebraska                      ","68138",1597,"2003-07-25"
33718,"for_sale                      ",185000,4,2,"0.15",857308,"Omaha","Nebraska                      ","68105",1621,"2019-07-05"
67751,"for_sale                      ",100000,2,1,"0.11",1126878,"Omaha","Nebraska                      ","68111",630,NULL
11296,"for_sale                      ",195000,3,3,"0.14",1217393,"Omaha","Nebraska                      ","68111",1768,"2021-11-03"
8035,"for_sale                      ",210000,2,2,"0.51",1058511,"Omaha","Nebraska                      ","68104",1933,"2020-06-16"
67258,"for_sale                      ",199900,2,2,"0.34",1220288,"Omaha","Nebraska                      ","68107",1600,NULL
8035,"for_sale                      ",70000,3,1,"0.08",1178673,"Omaha","Nebraska                      ","68111",876,"2018-12-28"
55651,"for_sale                      ",299900,2,3,"0.02",973622,"Omaha","Nebraska                      ","68105",1250,NULL
110098,"for_sale                      ",137500,2,1,"0.25",1360207,"Omaha","Nebraska                      ","68110",1000,NULL
67749,"for_sale                      ",415000,3,3,"0.29",1434466,"Omaha","Nebraska                      ","68022",3014,"2015-08-06"
8035,"for_sale                      ",224950,3,2,"0.3",162477,"Omaha","Nebraska                      ","68137",2019,"1996-08-04"
11472,"for_sale                      ",295000,2,3,"0.07",803409,"Omaha","Nebraska                      ","68124",1644,"2017-05-15"
11296,"for_sale                      ",460000,3,3,"0.1",136226,"Omaha","Nebraska                      ","68144",3634,"2014-05-19"
8035,"for_sale                      ",460000,3,3,"0.29",1368647,"Omaha","Nebraska                      ","68022",3575,"2018-12-27"
67749,"for_sale                      ",250000,3,2,"0.16",1222587,"Omaha","Nebraska                      ","68116",1313,NULL
98664,"for_sale                      ",550000,4,3,"0.2",253586,"Omaha","Nebraska                      ","68142",3058,"2020-12-03"
8035,"for_sale                      ",225000,4,2,"0.35",1673592,"Omaha","Nebraska                      ","68134",2030,"2005-10-20"
8035,"for_sale                      ",499900,4,5,"0.26",336527,"Omaha","Nebraska                      ","68154",3787,"2017-08-01"
79221,"for_sale                      ",172000,3,2,"0.17",1176373,"Omaha","Nebraska                      ","68104",1790,"2013-09-26"
67749,"for_sale                      ",174900,3,1,"0.17",1779727,"Omaha","Nebraska                      ","68134",1481,"2020-12-28"
58476,"for_sale                      ",112680,3,1,"0.1",1038343,"Omaha","Nebraska                      ","68110",1248,"2021-07-16"
67264,"for_sale                      ",325000,4,3,"0.17",459817,"Omaha","Nebraska                      ","68116",2450,"2016-06-30"
8035,"for_sale                      ",549900,5,4,"0.29",1412146,"Omaha","Nebraska                      ","68137",5266,"2018-06-05"
8035,"for_sale                      ",369900,4,2,"0.26",512641,"Omaha","Nebraska                      ","68116",2638,"2014-05-30"
NULL,"for_sale                      ",300000,3,3,"0.21",314296,"Omaha","Nebraska                      ","68137",1742,"2014-10-03"
86561,"for_sale                      ",175000,3,2,"0.64",1302635,"Omaha","Nebraska                      ","68104",1464,NULL
86561,"for_sale                      ",90000,2,1,"0.14",1251572,"Omaha","Nebraska                      ","68111",862,NULL
67749,"for_sale                      ",129000,2,1,"0.08",516460,"Omaha","Nebraska                      ","68108",880,NULL
81710,"for_sale                      ",37100,2,1,"0.14",1181666,"Omaha","Nebraska                      ","68111",1397,NULL
86561,"for_sale                      ",105000,4,2,"0.14",1251351,"Omaha","Nebraska                      ","68111",1602,NULL
67749,"for_sale                      ",625000,6,4,"0.23",556893,"Omaha","Nebraska                      ","68022",3776,"2019-08-19"
67751,"for_sale                      ",169500,3,3,"0.14",1153129,"Omaha","Nebraska                      ","68111",1272,"2021-06-16"
11472,"for_sale                      ",250000,3,4,"0.36",1384705,"Omaha","Nebraska                      ","68104",3137,"2020-09-24"
67749,"for_sale                      ",175000,3,1,"0.17",1504443,"Omaha","Nebraska                      ","68104",1375,"2019-11-06"
11472,"for_sale                      ",235000,4,2,"0.16",1222735,"Omaha","Nebraska                      ","68111",2762,"2019-03-19"
11296,"for_sale                      ",180000,3,2,"0.07",829133,"Omaha","Nebraska                      ","68107",1677,"2005-12-21"
11472,"for_sale                      ",210000,3,2,"0.29",1293023,"Omaha","Nebraska                      ","68106",2222,"1998-07-17"
67258,"for_sale                      ",450000,4,3,"0.27",578648,"Omaha","Nebraska                      ","68135",2723,"2020-11-19"
8035,"for_sale                      ",560000,4,5,"0.3",261388,"Omaha","Nebraska                      ","68154",5595,"2012-06-29"
8035,"for_sale                      ",160000,3,2,"0.13",1523617,"Omaha","Nebraska                      ","68112",1568,"1999-06-28"
8035,"for_sale                      ",375000,3,4,"0.23",1749736,"Omaha","Nebraska                      ","68118",3237,NULL
8035,"for_sale                      ",295000,3,2,"0.14",670925,"Omaha","Nebraska                      ","68106",2292,"2008-05-06"
8035,"for_sale                      ",299900,4,3,"0.15",552459,"Omaha","Nebraska                      ","68135",2541,"2017-09-20"
67259,"for_sale                      ",175000,4,1,"0.22",1301474,"Omaha","Nebraska                      ","68104",1660,"2018-03-01"
8035,"for_sale                      ",300000,3,3,"0.18",425137,"Omaha","Nebraska                      ","68118",2369,"2019-01-11"
11296,"for_sale                      ",275000,3,3,"0.28",155227,"Omaha","Nebraska                      ","68164",1738,NULL
8035,"for_sale                      ",315000,3,3,"0.4",1719909,"Omaha","Nebraska                      ","68112",2970,NULL
67263,"for_sale                      ",230000,2,2,"0.16",929877,"Omaha","Nebraska                      ","68116",1486,NULL
11472,"for_sale                      ",379000,3,3,"0.21",497795,"Omaha","Nebraska                      ","68135",2853,"2002-01-22"
67749,"for_sale                      ",245000,3,2,"0.2",1289288,"Omaha","Nebraska                      ","68135",1507,"2014-04-07"
8035,"for_sale                      ",220000,3,1,"0.2",867116,"Omaha","Nebraska                      ","68112",1820,"2000-02-25"
67257,"for_sale                      ",205000,3,1,"0.15",611389,"Omaha","Nebraska                      ","68104",1380,"2012-06-22"
11296,"for_sale                      ",437100,4,3,"0.22",487399,"Omaha","Nebraska                      ","68118",3679,"2014-01-21"
31931,"for_sale                      ",210000,2,2,"0.25",1320872,"Omaha","Nebraska                      ","68132",1084,"2016-08-08"
64962,"for_sale                      ",125000,2,2,"0.14",1220265,"Omaha","Nebraska                      ","68111",1235,"2012-04-19"
41090,"for_sale                      ",110000,2,1,"0.22",1253168,"Omaha","Nebraska                      ","68110",1480,NULL
64962,"for_sale                      ",140000,3,1,"0.14",1235000,"Omaha","Nebraska                      ","68111",884,"1997-08-25"
11472,"for_sale                      ",235000,3,3,"0.16",350880,"Omaha","Nebraska                      ","68164",1718,"2007-03-26"
8035,"for_sale                      ",410000,4,4,"0.23",486073,"Omaha","Nebraska                      ","68135",3316,NULL
67749,"for_sale                      ",169950,2,2,"0.11",1339114,"Omaha","Nebraska                      ","68117",828,"2015-09-15"
8035,"for_sale                      ",130000,2,1,"0.16",1251974,"Omaha","Nebraska                      ","68132",832,"2018-01-31"
8035,"for_sale                      ",79500,2,2,"0.11",617033,"Omaha","Nebraska                      ","68104",1060,"2019-05-20"
69946,"for_sale                      ",159900,3,1,"0.11",1483827,"Omaha","Nebraska                      ","68117",840,"2019-07-22"
8035,"for_sale                      ",450000,4,4,"0.25",1322847,"Omaha","Nebraska                      ","68135",3650,"1992-01-27"
33718,"for_sale                      ",195000,2,4,"0.05",101956,"Omaha","Nebraska                      ","68164",1729,"2019-07-10"
33718,"for_sale                      ",249900,3,2,"0.03",1017795,"Omaha","Nebraska                      ","68104",1879,"2019-06-14"
11296,"for_sale                      ",210000,3,2,"0.18",1542582,"Omaha","Nebraska                      ","68117",940,"2012-09-11"
67749,"for_sale                      ",150000,3,1,"0.16",1420286,"Omaha","Nebraska                      ","68104",1225,"2016-12-02"
52721,"for_sale                      ",245000,3,2,"0.15",1588530,"Omaha","Nebraska                      ","68136",1373,"2017-07-26"
8035,"for_sale                      ",230000,3,3,"0.22",95407,"Omaha","Nebraska                      ","68127",1964,"2020-05-22"
52721,"for_sale                      ",225000,3,3,"0.17",1178330,"Omaha","Nebraska                      ","68131",1824,"2015-07-21"
110098,"for_sale                      ",205000,3,1,"0.1",1439784,"Omaha","Nebraska                      ","68106",1110,"2014-08-12"
8035,"for_sale                      ",550000,5,4,"0.46",853696,"Omaha","Nebraska                      ","68116",3625,"2014-08-19"
67751,"for_sale                      ",400000,4,4,"0.23",1340694,"Omaha","Nebraska                      ","68164",3579,"2006-05-04"
67749,"for_sale                      ",335000,3,3,"0.18",477992,"Omaha","Nebraska                      ","68135",2833,"2012-07-25"
69077,"for_sale                      ",265000,3,2,"0.15",411971,"Omaha","Nebraska                      ","68116",1625,"2016-05-27"
11472,"for_sale                      ",175000,3,2,"0.24",1157711,"Omaha","Nebraska                      ","68134",1000,NULL
52721,"for_sale                      ",245000,3,3,"0.18",1786540,"Omaha","Nebraska                      ","68134",2023,NULL
