"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
4130,"for_sale                      ",59900,2,1,"0.24",1598962,"Arlington","Iowa                          ","50606",1298,"2017-06-27"
30686,"for_sale                      ",65000,3,2,"0.42",1359710,"Arlington","Iowa                          ","50606",1744,"2022-05-16"
16143,"for_sale                      ",79900,2,2,"0.28",1616355,"Arlington","Iowa                          ","50606",1324,"2022-05-27"
3036,"for_sale                      ",40000,3,2,"0.3",1009736,"Oelwein","Iowa                          ","50662",1409,"2013-10-29"
16143,"for_sale                      ",166900,3,3,"0.29",1184490,"Oelwein","Iowa                          ","50662",1248,NULL
105243,"for_sale                      ",62000,3,2,"0.35",650147,"Fayette","Iowa                          ","52142",1270,"2022-04-29"
70834,"for_sale                      ",92900,3,2,"0.09",939828,"Elkader","Iowa                          ","52043",2250,NULL
4999,"for_sale                      ",164900,4,2,"0.74",83990,"Aurora","Iowa                          ","50607",2957,NULL
16143,"for_sale                      ",35000,4,1,"0.09",921029,"Oelwein","Iowa                          ","50662",1714,"2022-05-02"
16143,"for_sale                      ",55000,3,1,"0.27",1186033,"Oelwein","Iowa                          ","50662",1140,"2022-06-01"
16143,"for_sale                      ",325000,4,2,"5.04",701918,"Oelwein","Iowa                          ","50662",2265,NULL
16143,"for_sale                      ",89900,4,2,"0.18",731358,"Oelwein","Iowa                          ","50662",864,NULL
81536,"for_sale                      ",37500,3,2,"0.26",436088,"Oelwein","Iowa                          ","50662",2300,"2021-09-17"
4130,"for_sale                      ",120000,4,2,"3.21",1342084,"Strawberry Point","Iowa                          ","52076",1777,NULL
69709,"for_sale                      ",34900,1,1,"0.06",1767262,"Elgin","Iowa                          ","52141",480,"2022-05-10"
101219,"for_sale                      ",101000,2,2,"0.34",681222,"Westgate","Iowa                          ","50681",1004,"2022-05-18"
16143,"for_sale                      ",35000,2,2,"0.32",1688861,"Oelwein","Iowa                          ","50662",1206,"2022-04-29"
81536,"for_sale                      ",130000,3,2,"0.25",1154534,"Oelwein","Iowa                          ","50662",2919,"2021-05-04"
81536,"for_sale                      ",49900,2,2,"0.15",941933,"Oelwein","Iowa                          ","50662",859,NULL
16143,"for_sale                      ",179900,3,2,"0.69",1452415,"Oelwein","Iowa                          ","50662",1260,"2022-04-29"
3036,"for_sale                      ",40000,3,1,"0.23",657038,"Stanley","Iowa                          ","50671",1348,"2016-09-19"
16143,"for_sale                      ",115000,4,3,"0.36",1140588,"Oelwein","Iowa                          ","50662",1728,"2022-05-30"
16143,"for_sale                      ",219000,3,2,"0.24",1583076,"Oelwein","Iowa                          ","50662",1430,"2022-05-16"
16143,"for_sale                      ",256500,5,2,"1.77",1737771,"Westgate","Iowa                          ","50681",4640,NULL
30543,"for_sale                      ",145000,2,2,"0.2",1679451,"Elkader","Iowa                          ","52043",2080,"2021-10-26"
16143,"for_sale                      ",295000,3,2,"0.39",1592854,"Oelwein","Iowa                          ","50662",1420,"2022-07-28"
16143,"for_sale                      ",229500,4,3,"0.24",215891,"Oelwein","Iowa                          ","50662",1174,NULL
16143,"for_sale                      ",115000,3,2,"0.33",977014,"Oelwein","Iowa                          ","50662",1198,"2022-05-27"
4130,"for_sale                      ",169900,4,3,"0.18",1587753,"Elkader","Iowa                          ","52043",1800,"2019-10-25"
4129,"for_sale                      ",139500,4,2,"0.18",1574326,"Elkader","Iowa                          ","52043",2910,"2014-10-30"
4129,"for_sale                      ",297000,3,3,"1.47",1580228,"Elkader","Iowa                          ","52043",2042,"2021-03-29"
3036,"for_sale                      ",150000,3,3,"0.24",298871,"Oelwein","Iowa                          ","50662",1339,NULL
30686,"for_sale                      ",130000,3,2,"0.26",1337366,"Elgin","Iowa                          ","52141",1631,"2022-04-01"
4130,"for_sale                      ",110000,2,1,"0.34",663639,"Strawberry Point","Iowa                          ","52076",924,NULL
16143,"for_sale                      ",179000,4,2,"0.33",685217,"Strawberry Point","Iowa                          ","52076",1312,"2020-10-16"
70438,"for_sale                      ",105000,3,2,"0.16",1347679,"Oelwein","Iowa                          ","50662",1342,"2018-05-25"
81536,"for_sale                      ",299900,5,2,"0.33",1581195,"Fairbank","Iowa                          ","50629",1728,NULL
22226,"for_sale                      ",95500,3,2,"0.2",1368673,"Oelwein","Iowa                          ","50662",864,"2022-04-29"
70835,"for_sale                      ",190000,4,2,"0.32",106129,"Oelwein","Iowa                          ","50662",2568,"2022-05-06"
30543,"for_sale                      ",350000,1,2,"1.66",757419,"Edgewood","Iowa                          ","52042",2240,NULL
16143,"for_sale                      ",54500,3,2,"0.07",1174350,"Oelwein","Iowa                          ","50662",1344,"2022-05-31"
4130,"for_sale                      ",254900,3,1,"0.25",34241,"Edgewood","Iowa                          ","52042",1056,"2017-02-23"
78676,"for_sale                      ",74900,3,1,"0.24",1222082,"Jesup","Iowa                          ","50648",1171,"2015-06-08"
106019,"for_sale                      ",28000,3,1,"0.15",308072,"Winthrop","Iowa                          ","50682",1120,NULL
47737,"for_sale                      ",280000,6,4,"3.18",1361919,"Vinton","Iowa                          ","52349",3640,"2010-09-22"
74757,"for_sale                      ",330000,4,2,"4",1026871,"Brandon","Iowa                          ","52210",2500,"2016-10-17"
78435,"for_sale                      ",260000,3,3,"0.24",1474268,"Center Point","Iowa                          ","52213",1956,"2017-04-12"
74757,"for_sale                      ",309000,4,3,"0.65",32648,"Urbana","Iowa                          ","52345",2028,"2003-05-23"
52811,"for_sale                      ",115000,1,1,"0.33",1026471,"Marion","Iowa                          ","52302",832,"2019-02-14"
52811,"for_sale                      ",93000,2,2,"0.18",1468061,"Clermont","Iowa                          ","52135",864,"2022-05-20"
10595,"for_sale                      ",314900,4,2,"8.73",762983,"Independence","Iowa                          ","50644",1344,NULL
47730,"for_sale                      ",599900,5,4,"2.55",1023248,"Coggon","Iowa                          ","52218",3217,NULL
70708,"for_sale                      ",240000,3,2,"0.25",134647,"Independence","Iowa                          ","50644",1450,NULL
78435,"for_sale                      ",364900,5,3,"0.64",842734,"Urbana","Iowa                          ","52345",3028,"2022-06-24"
106019,"for_sale                      ",199900,4,2,"0.24",1315890,"Independence","Iowa                          ","50644",1840,NULL
52813,"for_sale                      ",424000,3,3,"1",585740,"Manchester","Iowa                          ","52057",1680,"2022-05-18"
47737,"for_sale                      ",330000,4,3,"2.13",1066302,"Toddville","Iowa                          ","52341",2059,NULL
78720,"for_sale                      ",165000,3,2,"0.24",1596978,"Independence","Iowa                          ","50644",1350,"2016-09-06"
